[2025-10-27 10:52:58,734] INFO � log_views: SearchHistory saved | user=tenant1@rentalhub.com query='2 bedrooms' location=Hamburg price_eur_range=(N/A-2000)
[2025-10-27 10:52:58,755] INFO � log_views: SearchHistory saved | user=tenant1@rentalhub.com query='city center' location=Cologne price_eur_range=(400-1000)
[2025-10-27 10:52:58,765] INFO � log_views: SearchHistory saved | user=tenant1@rentalhub.com query='sea view' location=Dresden price_eur_range=(400-1000)
[2025-10-27 10:52:58,773] INFO � log_views: SearchHistory saved | user=tenant2@rentalhub.com query='sea view' location=Munich price_eur_range=(N/A-2000)
[2025-10-27 10:52:58,783] INFO � log_views: SearchHistory saved | user=tenant2@rentalhub.com query='city center' location=Berlin price_eur_range=(N/A-2000)
[2025-10-27 10:52:58,803] INFO � log_views: SearchHistory saved | user=tenant2@rentalhub.com query='cheap apartment' location=Berlin price_eur_range=(200-1000)
[2025-10-27 10:52:58,812] INFO � log_views: SearchHistory saved | user=tenant3@rentalhub.com query='house with garden' location=Frankfurt price_eur_range=(200-1000)
[2025-10-27 10:52:58,820] INFO � log_views: SearchHistory saved | user=tenant3@rentalhub.com query='pet friendly' location=Berlin price_eur_range=(N/A-1000)
[2025-10-27 10:52:58,827] INFO � log_views: SearchHistory saved | user=tenant3@rentalhub.com query='2 bedrooms' location=Frankfurt price_eur_range=(400-600)
[2025-10-27 10:52:58,835] INFO � log_views: SearchHistory saved | user=tenant4@rentalhub.com query='house with garden' location=Cologne price_eur_range=(N/A-2000)
[2025-10-27 10:52:58,842] INFO � log_views: SearchHistory saved | user=tenant4@rentalhub.com query='city center' location=Cologne price_eur_range=(N/A-2000)
[2025-10-27 10:52:58,849] INFO � log_views: SearchHistory saved | user=tenant4@rentalhub.com query='student flat' location=Berlin price_eur_range=(N/A-600)
[2025-10-27 10:52:58,857] INFO � log_views: SearchHistory saved | user=tenant5@rentalhub.com query='2 bedrooms' location=Berlin price_eur_range=(200-1000)
[2025-10-27 10:52:58,863] INFO � log_views: SearchHistory saved | user=tenant5@rentalhub.com query='house with garden' location=Munich price_eur_range=(N/A-1000)
[2025-10-27 10:52:58,870] INFO � log_views: SearchHistory saved | user=tenant5@rentalhub.com query='pet friendly' location=Frankfurt price_eur_range=(200-2000)
[2025-10-27 10:52:58,877] INFO � log_views: SearchHistory saved | user=tenant6@rentalhub.com query='villa' location=Hamburg price_eur_range=(200-2000)
[2025-10-27 10:52:58,884] INFO � log_views: SearchHistory saved | user=tenant6@rentalhub.com query='city center' location=Berlin price_eur_range=(200-600)
[2025-10-27 10:52:58,891] INFO � log_views: SearchHistory saved | user=tenant6@rentalhub.com query='house with garden' location=Berlin price_eur_range=(400-1000)
[2025-10-27 10:52:58,910] INFO � log_views: SearchHistory saved | user=tenant7@rentalhub.com query='2 bedrooms' location=Berlin price_eur_range=(200-1000)
[2025-10-27 10:52:58,920] INFO � log_views: SearchHistory saved | user=tenant7@rentalhub.com query='sea view' location=Dresden price_eur_range=(400-600)
[2025-10-27 10:52:58,929] INFO � log_views: SearchHistory saved | user=tenant7@rentalhub.com query='student flat' location=Hamburg price_eur_range=(200-600)
[2025-10-27 10:52:58,944] INFO � log_views: SearchHistory saved | user=tenant8@rentalhub.com query='house with garden' location=Dresden price_eur_range=(200-2000)
[2025-10-27 10:52:58,957] INFO � log_views: SearchHistory saved | user=tenant8@rentalhub.com query='pet friendly' location=Cologne price_eur_range=(400-2000)
[2025-10-27 10:52:58,967] INFO � log_views: SearchHistory saved | user=tenant8@rentalhub.com query='villa' location=Dresden price_eur_range=(400-2000)
[2025-10-27 10:52:58,975] INFO � log_views: SearchHistory saved | user=tenant9@rentalhub.com query='student flat' location=Munich price_eur_range=(400-2000)
